,Station_Index,Position_X,Position_Y,Position_Z,Distance,AP0_RSS(dBm)
123,124,7.707463914933369,7.707463914933369,0.0,10.9,-61.0
124,125,8.413776741499454,6.112966623841721,0.0,10.4,-60.0
125,126,6.646803743153548,6.646803743153548,0.0,9.4,-59.0
126,127,8.061017305526642,8.061017305526642,0.0,11.4,-61.0
127,128,7.566042558696059,7.566042558696059,0.0,10.7,-61.0
128,129,7.14177848998413,7.14177848998413,0.0,10.1,-60.0
129,130,6.151828996322964,6.151828996322964,0.0,8.7,-57.0
130,131,6.788225099390856,6.788225099390856,0.0,9.6,-59.0
131,132,8.343860018001262,8.343860018001262,0.0,11.8,-62.0
132,133,6.7175144212722016,6.7175144212722016,0.0,9.5,-59.0
133,134,9.05096679918781,9.05096679918781,0.0,12.8,-63.0
134,135,9.545941546018392,9.545941546018392,0.0,13.5,-64.0
135,136,6.929646455628166,6.929646455628166,0.0,9.8,-59.0
136,137,6.0104076400856545,6.0104076400856545,0.0,8.5,-57.0
137,138,9.404520189781083,9.404520189781083,0.0,13.3,-64.0
138,139,8.697413408594535,8.697413408594535,0.0,12.3,-63.0
139,140,9.950909030811854,7.22975860319742,0.0,12.3,-63.0
140,141,7.919595949289333,7.919595949289333,0.0,11.2,-61.0
141,142,10.652112466548596,6.1499999999999995,0.0,12.3,-63.0
142,143,6.081118318204309,6.081118318204309,0.0,8.6,-57.0
143,144,7.4246212024587495,7.4246212024587495,0.0,10.5,-60.0
144,145,8.656481839811937,6.2893021995294625,0.0,10.7,-61.0
145,146,8.202438661763951,8.202438661763951,0.0,11.6,-62.0
146,147,5.727564927611035,5.727564927611035,0.0,8.1,-56.0
147,148,6.553037654437074,4.761060543569032,0.0,8.1,-56.0
148,149,8.485281374238571,8.485281374238571,0.0,12.0,-62.0
149,150,8.555992052357226,8.555992052357226,0.0,12.1,-62.0
150,151,9.2227937358744,6.700751876134194,0.0,11.4,-61.0
151,152,7.038447851062042,5.113731694944516,0.0,8.7,-57.0
152,153,9.263098833543774,9.263098833543774,0.0,13.1,-64.0
153,154,8.76812408671319,8.76812408671319,0.0,12.4,-63.0
154,155,9.19238815542512,9.19238815542512,0.0,13.0,-63.0
155,156,9.758073580374356,9.758073580374356,0.0,13.8,-64.0
156,157,7.766563145999495,5.642738422007742,0.0,9.6,-59.0
157,158,9.06099033699941,6.583194825675699,0.0,11.2,-61.0
158,159,9.54640053362438,6.935865977051184,0.0,11.8,-62.0
159,160,7.685661446562001,5.583959896778495,0.0,9.5,-59.0
160,161,10.677312395916868,10.677312395916868,0.0,15.1,-66.0
161,162,10.960155108391488,10.960155108391488,0.0,15.5,-66.0
162,163,12.303657992645928,12.303657992645928,0.0,17.4,-68.0
163,164,19.30401512639275,19.30401512639275,0.0,27.3,-75.0
164,165,14.637110370561535,14.637110370561535,0.0,20.7,-71.0
165,166,11.59655121145938,11.59655121145938,0.0,16.4,-67.0
166,167,14.42497833620557,14.42497833620557,0.0,20.4,-70.0
167,168,14.212846301849607,14.212846301849607,0.0,20.1,-70.0
168,169,17.889801564019653,17.889801564019653,0.0,25.3,-74.0
169,170,18.596908345206202,18.596908345206202,0.0,26.3,-74.0
170,171,13.930003589374987,13.930003589374987,0.0,19.7,-70.0
171,172,18.031222920256962,18.031222920256962,0.0,25.5,-74.0
172,173,19.374725804511403,19.374725804511403,0.0,27.4,-75.0
173,174,15.937634789186465,11.579369470161721,0.0,19.7,-70.0
174,175,15.627059864222703,15.627059864222703,0.0,22.1,-72.0
175,176,12.020815280171309,12.020815280171309,0.0,17.0,-68.0
176,177,12.6572113832392,12.6572113832392,0.0,17.9,-68.0
177,178,14.481404199311559,10.521356016035268,0.0,17.9,-68.0
178,179,15.48563850798539,15.48563850798539,0.0,21.9,-71.0
179,180,19.02117241391813,19.02117241391813,0.0,26.9,-75.0
180,181,11.172287142747452,11.172287142747452,0.0,15.8,-66.0
181,182,18.667619023324853,18.667619023324853,0.0,26.4,-74.0
182,183,17.53624817342638,17.53624817342638,0.0,24.8,-73.0
183,184,17.324116139070416,17.324116139070416,0.0,24.5,-73.0
184,185,21.27714695206112,15.458752135292045,0.0,26.3,-74.0
185,186,11.808683245815343,11.808683245815343,0.0,16.7,-67.0
186,187,11.667261889578034,11.667261889578034,0.0,16.5,-67.0
187,188,17.041273426595797,17.041273426595797,0.0,24.1,-73.0
188,189,13.348780407186633,9.698456662825807,0.0,16.5,-67.0
189,190,11.384419177103418,11.384419177103418,0.0,16.1,-67.0
190,191,10.535891039679559,10.535891039679559,0.0,14.9,-66.0
191,192,16.33416664540925,16.33416664540925,0.0,23.1,-72.0
192,193,10.606601717798213,10.606601717798213,0.0,15.0,-66.0
193,194,19.516147160748712,19.516147160748712,0.0,27.6,-75.0
194,195,13.50573952066306,13.50573952066306,0.0,19.1,-69.0
195,196,10.323759005323595,10.323759005323595,0.0,14.6,-65.0
196,197,19.091883092036785,19.091883092036785,0.0,27.0,-75.0
197,198,15.061374439273465,15.061374439273465,0.0,21.3,-71.0
198,199,12.94005409571382,12.94005409571382,0.0,18.3,-69.0
199,200,18.10193359837562,18.10193359837562,0.0,25.6,-74.0
